PLAYER_ID,PLAYER_NAME,PERIOD,REMAIN_TIME,DIST,ANGLE,COMBINED_SHOT_TYPE_Jump Shot,COMBINED_SHOT_TYPE_Layup,COMBINED_SHOT_TYPE_Dunk,COMBINED_SHOT_TYPE_Tip Shot,COMBINED_SHOT_TYPE_Hook Shot,COMBINED_SHOT_TYPE_Bank Shot,INTERCEPT,CLUSTER
101108,Chris Paul,-0.0519638352907886,0.1219018162317594,-0.3856130684180172,0.0466086044979672,-0.0082625941824598,0.0522388357849904,0.0,0.0,0.0,-0.2102003675908988,-0.2363743972729694,4
1626145,Tyus Jones,-0.0746660888930187,0.1239182264632869,-0.4167052547008576,0.0329437698110836,-0.3518282332831295,-0.3191041936562195,0.0,0.0,0.1380437619256222,-0.0248412299700808,-0.2446795419884875,2
1626156,D'Angelo Russell,-0.0300720819234563,0.1204767725583985,-0.1129063969961368,-0.0410314266333913,-0.1094915914563972,0.0475138570794018,0.10177829356453706,0.0,-0.2823691930460391,-0.237485874521593,-0.3251735249524384,2
1626157,Karl-Anthony Towns,-0.10804352262332,-0.0240600643807432,-0.5018100038917112,-0.0276423033699311,-0.1211843614781804,-0.1115956374311585,0.2734965463117229,0.0,-0.771973970519619,-0.0234525445647255,-0.2256146830980193,1
1626162,Kelly Oubre Jr.,-0.0107530974181308,-0.0607517625725049,-0.5717176767159344,-0.115300455514528,-0.1529858805779898,-0.176688596666295,0.25097178057030994,0.0,-0.6864136615554608,0.0174539938213762,-0.5444906791991887,1
1626166,Cameron Payne,-0.0188582812414761,-0.0628109311665359,-0.209387646610608,0.0625834509373617,0.1774831439267487,0.1940026781304767,0.0,0.0,-0.0775692737358648,0.0423646842136258,-0.3279879475210868,4
1626167,Myles Turner,0.1106299622726193,0.1624544836551489,-0.6871509502778655,-0.0159177177366838,-0.2194993327281378,-0.2464203640453108,0.37367084299271336,0.0,-1.0241094648459046,-0.0442928807262254,-0.1883221994642557,0
1626168,Trey Lyles,-0.1130232058977395,0.0087590935993752,-0.7395956324531404,0.0326488280603737,-0.0870853931958742,-0.141206837399918,0.1481151883528688,0.0,-0.4050043729984517,0.1695841393227903,-0.2334130914583095,1
1626171,Bobby Portis,-0.1015570335017228,0.0181245191927667,-0.3475654153474822,0.0110724729525422,-0.1780932787298887,-0.1067695798063399,0.20840949037684842,0.0,-0.5677413167137898,0.0188242070341009,-0.2808799134020157,1
1626172,Kevon Looney,-0.1984758154815204,-0.0510729113700128,-1.9823346003149145,0.0668995700166873,-0.1214091653294094,-0.2452428779524243,0.436605317425073,0.0,-1.2423972485158192,0.170108649007977,-1.2114963806362744,3
1626179,Terry Rozier,0.0242484345959723,0.0584318372589282,-0.4651813546627196,0.0066277761827908,-0.1687251734958894,-0.1567480754136465,0.1172782440333195,0.0,-0.2842467625843768,-0.0270028491758391,-0.403165068375625,2
1626181,Norman Powell,0.0794160881544215,0.0056276613177971,-0.377023632350484,-0.0061010514578314,-0.0771646821170859,-0.0384002900369715,0.33010303837898797,0.0,-0.9656865703476436,-0.0227778544211244,-0.2054255711754631,0
1626192,Pat Connaughton,0.0418492231019072,-0.0706431664853162,-0.7817280340636438,-0.0566688276306307,-0.0033773634152366,-0.0152603609084687,0.16214415897942414,0.0,-0.4720783714554498,-0.2510055030547981,-0.2841613511040903,1
1626196,Josh Richardson,-0.1018800701936573,-0.0024538218969256,-0.4090390048494132,-0.0020891242478618,-0.212257520422927,-0.1118970351524117,0.14506565265606247,0.0,-0.3692434553021143,0.0095785237269947,-0.3360779629395635,2
1626204,Larry Nance Jr.,0.0169723208438553,0.0100578283220318,-0.5923751420271274,-0.0633147109174665,-0.1885686243575525,-0.198978828478586,0.3593214858848655,0.0,-0.998840852137894,-0.0011582472338251,-0.2787068029570949,0
1626220,Royce O'Neale,-0.0407623928350446,0.0290593465420438,0.0667348327433148,0.0810727023376995,-0.2121817701521813,-0.1291656411454261,0.18509906030798484,0.0,-0.4856985627068713,0.0055272806201363,-0.4899225729555625,2
1626224,Cedi Osman,-0.014669729475293,-0.0320590802942366,-0.0189160280627022,-0.0578243842504567,-0.303080603126699,-0.0535228505426375,0.3475854466190365,0.0,-0.976417681512232,0.1646843030649854,-0.465730122842055,0
1627734,Domantas Sabonis,-0.1151373622042717,-0.0174544483078059,-0.4266510295587048,-0.0928985285341973,-0.2190391821554171,-0.1236061813411153,0.38464064701781914,0.0,-1.0816947430767234,-0.0499961907597367,-0.3706443507419321,0
1627739,Kris Dunn,0.1708852961876611,-0.0047711457873774,-0.5303634398550529,-0.2245736166889792,-0.1778412425852125,-0.2041272386419944,0.37986453841539675,0.0,-1.060374083534781,-0.0312134732922601,-0.253759429218011,0
1627741,Buddy Hield,-0.0225999094595819,0.0090942459329706,-0.2248737923640394,-0.0261976687490844,-0.5326860716026954,-0.456877606073499,0.0667422366763171,0.0,0.0142332854315697,-0.2930911494383375,-0.2853398709128488,2
1627742,Brandon Ingram,-0.0322296348429793,0.0061300524007628,-0.535269565588234,-0.0271085806925774,-0.2614458769668038,-0.249450438762677,0.35358278686744177,0.0,-0.9450201328040432,-0.2714296602206694,-0.2664782680411243,0
1627747,Caris LeVert,0.0334076601857205,0.0327162796206804,-0.1251396502568674,-0.0881379518432226,-0.3474982963096256,-0.2374961314239496,0.40396907681461847,0.0,-1.090329545278118,-0.0466707220186153,-0.5523292326297201,0
