PLAYER_ID,PLAYER_NAME,DIST,ANGLE,CLUSTER
101108,Chris Paul,-0.3856130684180172,0.0466086044979672,4
1626145,Tyus Jones,-0.4167052547008576,0.0329437698110836,2
1626156,D'Angelo Russell,-0.1129063969961368,-0.0410314266333913,2
1626157,Karl-Anthony Towns,-0.5018100038917112,-0.0276423033699311,1
1626162,Kelly Oubre Jr.,-0.5717176767159344,-0.115300455514528,1
1626166,Cameron Payne,-0.209387646610608,0.0625834509373617,4
1626167,Myles Turner,-0.6871509502778655,-0.0159177177366838,0
1626168,Trey Lyles,-0.7395956324531404,0.0326488280603737,1
1626171,Bobby Portis,-0.3475654153474822,0.0110724729525422,1
1626172,Kevon Looney,-1.9823346003149145,0.0668995700166873,3
1626179,Terry Rozier,-0.4651813546627196,0.0066277761827908,2
1626181,Norman Powell,-0.377023632350484,-0.0061010514578314,0
1626192,Pat Connaughton,-0.7817280340636438,-0.0566688276306307,1
1626196,Josh Richardson,-0.4090390048494132,-0.0020891242478618,2
1626204,Larry Nance Jr.,-0.5923751420271274,-0.0633147109174665,0
1626220,Royce O'Neale,0.0667348327433148,0.0810727023376995,2
1626224,Cedi Osman,-0.0189160280627022,-0.0578243842504567,0
1627734,Domantas Sabonis,-0.4266510295587048,-0.0928985285341973,0
1627739,Kris Dunn,-0.5303634398550529,-0.2245736166889792,0
1627741,Buddy Hield,-0.2248737923640394,-0.0261976687490844,2
1627742,Brandon Ingram,-0.535269565588234,-0.0271085806925774,0
1627747,Caris LeVert,-0.1251396502568674,-0.0881379518432226,0
1627749,Dejounte Murray,-0.6029219538355938,-0.0516627074147156,0
1627750,Jamal Murray,-0.162699726834174,0.0240330596698776,0
1627751,Jakob Poeltl,-1.810835037293964,0.0571700827998721,3
1627752,Taurean Prince,-0.4025392620719858,-0.0125055818334916,0
1627777,Georges Niang,-0.4482058326601984,0.0697302952554802,4
1627783,Pascal Siakam,-0.6652086154227104,0.0200317581137375,0
1627826,Ivica Zubac,-1.2314642208178561,-0.0362967591245616,1
1627827,Dorian Finney-Smith,-0.3889478594649914,0.0273272403670182,2
1627832,Fred VanVleet,-0.2619403751887628,-0.0440910348181928,4
1627884,Derrick Jones Jr.,-1.0440019312861395,-0.0431918429908493,1
1627936,Alex Caruso,-0.2371527861400696,-0.0188563189467386,2
1628365,Markelle Fultz,-0.873666944383101,0.0690658426290585,1
1628368,De'Aaron Fox,-0.7273144937601296,-0.0365115000564917,1
1628369,Jayson Tatum,-0.274639132504805,-0.0496450880454962,0
1628370,Malik Monk,-0.4379707027543482,0.0971261720526738,0
1628372,Dennis Smith Jr.,-0.476213824064344,0.1366123806332312,1
1628374,Lauri Markkanen,-0.2674394875831522,0.0169861574828744,0
1628378,Donovan Mitchell,-0.5562007903425966,-0.0257103202122358,2
1628379,Luke Kennard,0.067738896973362,0.0170936573617377,4
1628380,Zach Collins,-0.6210326946550824,-0.0261127248613499,1
1628381,John Collins,-0.7830594791791016,0.0124556660434428,0
1628392,Isaiah Hartenstein,-1.1376496823554796,0.0086559034239151,1
1628398,Kyle Kuzma,-0.4950300946093854,0.0367786007223105,0
1628401,Derrick White,-0.3584295295097922,-0.0214557199192474,1
1628404,Josh Hart,-0.3428341011139594,-0.0373886421958384,0
1628420,Monte Morris,-0.6778837623878112,-0.1320548588072391,4
1628470,Torrey Craig,-0.3061352494098938,-0.0201646463501458,2
1628975,Jevon Carter,-0.3228028658227472,0.0645449689280959,4
1628976,Wendell Carter Jr.,-0.621596763495305,-0.0239323069723331,0
1628978,Donte DiVincenzo,-0.1529839048291978,0.1076995915962648,0
1628983,Shai Gilgeous-Alexander,-0.6833053705694152,0.0057419792640997,0
1628984,Devonte' Graham,-0.451426988427124,-0.0287395338220934,4
1628988,Aaron Holiday,-0.253100871000857,0.1069541961690779,2
1628989,Kevin Huerter,-0.4959961585874024,0.0203328147783486,2
1628991,Jaren Jackson Jr.,-0.3565026041959154,-0.0829433583914927,0
1628995,Kevin Knox II,-0.6107510107413094,0.0271406969446679,1
1628997,Caleb Martin,-0.2380786872659172,-0.0601030289523941,0
1629001,De'Anthony Melton,-0.0429455564956674,0.0477369831016057,0
1629003,Shake Milton,-0.4802369995702156,0.0789395267189986,0
1629006,Josh Okogie,-0.3522204115810944,-0.0617404597326513,2
1629008,Michael Porter Jr.,-0.4230103146246382,0.044679461000782,0
1629012,Collin Sexton,-0.3576293450770916,-0.1004704368589244,2
1629013,Landry Shamet,-0.2142791643754794,0.0585082741138017,4
1629014,Anfernee Simons,-0.3312908138845066,0.0134870908132665,2
1629018,Gary Trent Jr.,-0.2980148220900278,-0.011145359774983,0
1629020,Jarred Vanderbilt,-0.0112625847072938,0.0144774046050329,0
1629021,Moritz Wagner,-0.8594345311162807,0.1436630850310165,1
1629022,Lonnie Walker IV,-0.2169879947852838,-0.0294074929389393,0
1629023,P.J. Washington,-0.3869306115803168,0.0118892187567806,0
1629026,Kenrich Williams,-0.2809579481663626,-0.1031785708637088,0
1629027,Trae Young,-0.484249652246906,-0.0027754083354227,4
1629029,Luka Doncic,-0.6188288019966666,-0.0211127382832397,1
1629060,Rui Hachimura,-0.6290676061864156,0.0373693857320883,0
1629111,Jock Landale,-1.5337823142360603,0.0936618731294423,3
1629130,Duncan Robinson,-0.381152825766192,0.0950967929919622,1
1629216,Gabe Vincent,-0.6031896007242192,0.0669291690054407,4
1629234,Drew Eubanks,-1.1829069311806304,0.039012960833205,1
1629312,Haywood Highsmith,-0.448102343969774,-0.0124687814784678,0
